Datum;ARTH - Kumulierter Niederschlag (mm oder Liter/m2)
01.01.2022 00:00;0.1
02.01.2022 00:00;0.1
03.01.2022 00:00;0.1
04.01.2022 00:00;0.1
05.01.2022 00:00;26.6
06.01.2022 00:00;26.6
07.01.2022 00:00;26.6
08.01.2022 00:00;28.7
09.01.2022 00:00;37.7
10.01.2022 00:00;45.3
11.01.2022 00:00;45.3
12.01.2022 00:00;45.3
13.01.2022 00:00;45.3
14.01.2022 00:00;45.3
15.01.2022 00:00;45.3
16.01.2022 00:00;45.3
17.01.2022 00:00;45.7
18.01.2022 00:00;45.7
19.01.2022 00:00;45.7
20.01.2022 00:00;48.3
21.01.2022 00:00;48.4
22.01.2022 00:00;48.4
23.01.2022 00:00;48.4
24.01.2022 00:00;48.4
25.01.2022 00:00;48.4
26.01.2022 00:00;48.4
27.01.2022 00:00;48.4
28.01.2022 00:00;53.7
29.01.2022 00:00;53.7
30.01.2022 00:00;53.7
31.01.2022 00:00;54.9
01.02.2022 00:00;57.5
02.02.2022 00:00;66
03.02.2022 00:00;67
04.02.2022 00:00;67
05.02.2022 00:00;75.2
06.02.2022 00:00;75.8
07.02.2022 00:00;83.3
08.02.2022 00:00;83.3
09.02.2022 00:00;83.3
10.02.2022 00:00;83.3
11.02.2022 00:00;109.1
12.02.2022 00:00;109.1
13.02.2022 00:00;109.1
14.02.2022 00:00;109.1
15.02.2022 00:00;113.2
16.02.2022 00:00;128.2
17.02.2022 00:00;132.9
18.02.2022 00:00;133.7
19.02.2022 00:00;156.9
20.02.2022 00:00;156.9
21.02.2022 00:00;160.8
22.02.2022 00:00;162.8
23.02.2022 00:00;163.2
24.02.2022 00:00;163.2
25.02.2022 00:00;170.3
26.02.2022 00:00;172.7
27.02.2022 00:00;172.7
28.02.2022 00:00;172.7
01.03.2022 00:00;172.7
02.03.2022 00:00;172.7
03.03.2022 00:00;172.7
04.03.2022 00:00;172.7
05.03.2022 00:00;172.7
06.03.2022 00:00;172.7
07.03.2022 00:00;172.7
08.03.2022 00:00;172.7
09.03.2022 00:00;172.7
10.03.2022 00:00;172.7
11.03.2022 00:00;172.7
12.03.2022 00:00;172.7
13.03.2022 00:00;172.7
14.03.2022 00:00;172.8
15.03.2022 00:00;172.9
16.03.2022 00:00;172.9
17.03.2022 00:00;172.9
18.03.2022 00:00;173
19.03.2022 00:00;173
20.03.2022 00:00;173
21.03.2022 00:00;173
22.03.2022 00:00;173
23.03.2022 00:00;173
24.03.2022 00:00;173
25.03.2022 00:00;173
26.03.2022 00:00;173
27.03.2022 00:00;173
28.03.2022 00:00;173
29.03.2022 00:00;173
30.03.2022 00:00;175.2
31.03.2022 00:00;199.3
01.04.2022 00:00;230
02.04.2022 00:00;239.2
03.04.2022 00:00;239.2
04.04.2022 00:00;239.2
05.04.2022 00:00;239.7
06.04.2022 00:00;243.5
07.04.2022 00:00;250.4
08.04.2022 00:00;253.6
09.04.2022 00:00;267.6
10.04.2022 00:00;268.4
11.04.2022 00:00;268.4
12.04.2022 00:00;268.4
13.04.2022 00:00;268.4
14.04.2022 00:00;269.5
15.04.2022 00:00;269.5
16.04.2022 00:00;269.5
17.04.2022 00:00;269.5
18.04.2022 00:00;269.5
19.04.2022 00:00;269.5
20.04.2022 00:00;269.5
21.04.2022 00:00;269.5
22.04.2022 00:00;269.5
23.04.2022 00:00;269.5
24.04.2022 00:00;287.1
25.04.2022 00:00;310.2
26.04.2022 00:00;327.2
27.04.2022 00:00;327.2
28.04.2022 00:00;327.2
29.04.2022 00:00;327.2
30.04.2022 00:00;334
01.05.2022 00:00;334
02.05.2022 00:00;334
03.05.2022 00:00;334
04.05.2022 00:00;334
05.05.2022 00:00;343.5
06.05.2022 00:00;350.2
07.05.2022 00:00;350.4
08.05.2022 00:00;350.4
09.05.2022 00:00;350.4
10.05.2022 00:00;350.4
11.05.2022 00:00;350.4
12.05.2022 00:00;350.4
13.05.2022 00:00;352.4
14.05.2022 00:00;352.4
15.05.2022 00:00;361.3
16.05.2022 00:00;365.9
17.05.2022 00:00;365.9
18.05.2022 00:00;365.9
19.05.2022 00:00;366.5
20.05.2022 00:00;366.5
21.05.2022 00:00;368.2
22.05.2022 00:00;368.2
23.05.2022 00:00;381.3
24.05.2022 00:00;403.4
25.05.2022 00:00;404.4
26.05.2022 00:00;404.4
27.05.2022 00:00;404.4
28.05.2022 00:00;404.4
29.05.2022 00:00;404.4
30.05.2022 00:00;404.4
31.05.2022 00:00;412.9
01.06.2022 00:00;415.6
02.06.2022 00:00;415.7
03.06.2022 00:00;428.8
04.06.2022 00:00;429.4
05.06.2022 00:00;441
06.06.2022 00:00;454.8
07.06.2022 00:00;499.1
08.06.2022 00:00;500.8
09.06.2022 00:00;511
10.06.2022 00:00;511.3
11.06.2022 00:00;511.3
12.06.2022 00:00;513
13.06.2022 00:00;516.5
14.06.2022 00:00;516.5
15.06.2022 00:00;516.7
16.06.2022 00:00;518.1
17.06.2022 00:00;518.1
18.06.2022 00:00;518.1
19.06.2022 00:00;518.1
20.06.2022 00:00;518.1
21.06.2022 00:00;518.5
22.06.2022 00:00;548.6
23.06.2022 00:00;549.4
24.06.2022 00:00;574.4
25.06.2022 00:00;579.5
26.06.2022 00:00;582
27.06.2022 00:00;587
28.06.2022 00:00;587
29.06.2022 00:00;587
30.06.2022 00:00;613.4
01.07.2022 00:00;629.1
02.07.2022 00:00;629.1
03.07.2022 00:00;629.4
04.07.2022 00:00;654.8
05.07.2022 00:00;659.6
06.07.2022 00:00;659.6
07.07.2022 00:00;659.6
08.07.2022 00:00;659.6
09.07.2022 00:00;659.6
10.07.2022 00:00;659.6
11.07.2022 00:00;659.6
12.07.2022 00:00;659.6
13.07.2022 00:00;659.6
14.07.2022 00:00;659.6
15.07.2022 00:00;659.6
16.07.2022 00:00;659.6
17.07.2022 00:00;659.6
18.07.2022 00:00;659.6
19.07.2022 00:00;659.6
20.07.2022 00:00;672.2
21.07.2022 00:00;672.3
22.07.2022 00:00;672.3
23.07.2022 00:00;682.2
24.07.2022 00:00;682.2
25.07.2022 00:00;682.5
26.07.2022 00:00;707.7
27.07.2022 00:00;707.7
28.07.2022 00:00;713.6
29.07.2022 00:00;720.5
30.07.2022 00:00;720.5
31.07.2022 00:00;720.5
01.08.2022 00:00;723.5
02.08.2022 00:00;724.9
03.08.2022 00:00;724.9
04.08.2022 00:00;724.9
05.08.2022 00:00;726.1
06.08.2022 00:00;727
07.08.2022 00:00;727
08.08.2022 00:00;727
09.08.2022 00:00;727
10.08.2022 00:00;727
11.08.2022 00:00;727
12.08.2022 00:00;727
13.08.2022 00:00;727
14.08.2022 00:00;727
15.08.2022 00:00;752.6
16.08.2022 00:00;752.6
17.08.2022 00:00;753.9
18.08.2022 00:00;761.8
19.08.2022 00:00;829.8
20.08.2022 00:00;831.1
21.08.2022 00:00;831.1
22.08.2022 00:00;831.1
23.08.2022 00:00;831.1
24.08.2022 00:00;831.1
25.08.2022 00:00;831.1
26.08.2022 00:00;834.9
27.08.2022 00:00;834.9
28.08.2022 00:00;834.9
29.08.2022 00:00;834.9
30.08.2022 00:00;843.6
31.08.2022 00:00;851.4
01.09.2022 00:00;851.4
02.09.2022 00:00;853.3
03.09.2022 00:00;860
04.09.2022 00:00;860
05.09.2022 00:00;860
06.09.2022 00:00;861.8
07.09.2022 00:00;880.3
08.09.2022 00:00;904
09.09.2022 00:00;909.6
10.09.2022 00:00;915.7
11.09.2022 00:00;915.8
12.09.2022 00:00;915.8
13.09.2022 00:00;915.8
14.09.2022 00:00;930.8
15.09.2022 00:00;964
16.09.2022 00:00;984.2
17.09.2022 00:00;1001
18.09.2022 00:00;1001.4
19.09.2022 00:00;1001.4
20.09.2022 00:00;1001.4
21.09.2022 00:00;1001.4
22.09.2022 00:00;1001.4
23.09.2022 00:00;1001.4
24.09.2022 00:00;1017.1
25.09.2022 00:00;1029.5
26.09.2022 00:00;1035.3
27.09.2022 00:00;1044.6
28.09.2022 00:00;1109.2
29.09.2022 00:00;1117.9
30.09.2022 00:00;1119.8
01.10.2022 00:00;1132.6
02.10.2022 00:00;1138.4
03.10.2022 00:00;1151.7
04.10.2022 00:00;1151.7
05.10.2022 00:00;1151.7
06.10.2022 00:00;1151.7
07.10.2022 00:00;1151.7
08.10.2022 00:00;1155.8
09.10.2022 00:00;1155.8
10.10.2022 00:00;1155.8
11.10.2022 00:00;1155.8
12.10.2022 00:00;1155.8
13.10.2022 00:00;1167.2
14.10.2022 00:00;1174.1
15.10.2022 00:00;1178.1
16.10.2022 00:00;1178.1
17.10.2022 00:00;1178.1
18.10.2022 00:00;1178.1
19.10.2022 00:00;1178.1
20.10.2022 00:00;1178.2
21.10.2022 00:00;1185.4
22.10.2022 00:00;1200.6
23.10.2022 00:00;1201.1
24.10.2022 00:00;1209.6
25.10.2022 00:00;1209.7
26.10.2022 00:00;1211.8
27.10.2022 00:00;1211.8
28.10.2022 00:00;1211.8
29.10.2022 00:00;1211.8
30.10.2022 00:00;1211.8
31.10.2022 00:00;1211.8
01.11.2022 00:00;1211.8
02.11.2022 00:00;1211.8
03.11.2022 00:00;1219
04.11.2022 00:00;1231.7
05.11.2022 00:00;1239.5
06.11.2022 00:00;1239.5
07.11.2022 00:00;1239.5
08.11.2022 00:00;1239.5
09.11.2022 00:00;1248.3
10.11.2022 00:00;1253
11.11.2022 00:00;1253
12.11.2022 00:00;1253
13.11.2022 00:00;1253
14.11.2022 00:00;1262
15.11.2022 00:00;1262
16.11.2022 00:00;1265.1
17.11.2022 00:00;1269.3
18.11.2022 00:00;1287.8
19.11.2022 00:00;1287.9
20.11.2022 00:00;1294.2
21.11.2022 00:00;1294.2
22.11.2022 00:00;1308.5
23.11.2022 00:00;1319.1
24.11.2022 00:00;1320.5
25.11.2022 00:00;1326.5
26.11.2022 00:00;1330.4
27.11.2022 00:00;1330.4
28.11.2022 00:00;1330.4
29.11.2022 00:00;1341.4
30.11.2022 00:00;1343.3
01.12.2022 00:00;1344.3
02.12.2022 00:00;1344.3
03.12.2022 00:00;1344.3
04.12.2022 00:00;1345.1
05.12.2022 00:00;1346.9
06.12.2022 00:00;1346.9
07.12.2022 00:00;1348.1
08.12.2022 00:00;1348.1
09.12.2022 00:00;1352.3
10.12.2022 00:00;1361.3
11.12.2022 00:00;1361.3
12.12.2022 00:00;1361.6
13.12.2022 00:00;1361.6
14.12.2022 00:00;1365.6
15.12.2022 00:00;1365.6
16.12.2022 00:00;1369.3
17.12.2022 00:00;1369.3
18.12.2022 00:00;1373.5
19.12.2022 00:00;1373.6
20.12.2022 00:00;1373.6
21.12.2022 00:00;1375.8
22.12.2022 00:00;1377.1
23.12.2022 00:00;1405.3
24.12.2022 00:00;1442.1
25.12.2022 00:00;1442.8
26.12.2022 00:00;1458.6
27.12.2022 00:00;1465.8
28.12.2022 00:00;1465.8
29.12.2022 00:00;1466.1
30.12.2022 00:00;1480.9
31.12.2022 00:00;1481.6
01.01.2023 00:00;1481.6
02.01.2023 00:00;1481.6
03.01.2023 00:00;1487.6
04.01.2023 00:00;1487.6
05.01.2023 00:00;1490.8
06.01.2023 00:00;1490.9
07.01.2023 00:00;1490.9
08.01.2023 00:00;1491.5
09.01.2023 00:00;1507.7
10.01.2023 00:00;1510.2
11.01.2023 00:00;1521
12.01.2023 00:00;1521.1
13.01.2023 00:00;1522.2
14.01.2023 00:00;1522.4
15.01.2023 00:00;1538.1
16.01.2023 00:00;1539.4
17.01.2023 00:00;1540.2
18.01.2023 00:00;1545.6
19.01.2023 00:00;1545.7
20.01.2023 00:00;1545.7
21.01.2023 00:00;1545.7
22.01.2023 00:00;1546.1
23.01.2023 00:00;1546.1
24.01.2023 00:00;1546.1
25.01.2023 00:00;1546.1
26.01.2023 00:00;1546.1
27.01.2023 00:00;1546.1
28.01.2023 00:00;1546.1
29.01.2023 00:00;1546.1
30.01.2023 00:00;1546.9
31.01.2023 00:00;1547
01.02.2023 00:00;1547
02.02.2023 00:00;1547
03.02.2023 00:00;1547
04.02.2023 00:00;1554.3
05.02.2023 00:00;1563.3
06.02.2023 00:00;1567
07.02.2023 00:00;1567
08.02.2023 00:00;1567
09.02.2023 00:00;1567
10.02.2023 00:00;1567
11.02.2023 00:00;1567
12.02.2023 00:00;1567
13.02.2023 00:00;1567
14.02.2023 00:00;1567.2
15.02.2023 00:00;1567.3
16.02.2023 00:00;1567.3
17.02.2023 00:00;1567.3
18.02.2023 00:00;1567.3
19.02.2023 00:00;1567.3
20.02.2023 00:00;1567.3
21.02.2023 00:00;1567.3
22.02.2023 00:00;1567.6
23.02.2023 00:00;1569.5
24.02.2023 00:00;1583.3
25.02.2023 00:00;1596.5
26.02.2023 00:00;1596.6
27.02.2023 00:00;1596.6
28.02.2023 00:00;1596.6
01.03.2023 00:00;1596.6
02.03.2023 00:00;1596.6
03.03.2023 00:00;1596.6
04.03.2023 00:00;1596.6
05.03.2023 00:00;1596.6
06.03.2023 00:00;1596.6
07.03.2023 00:00;1596.6
08.03.2023 00:00;1598.9
09.03.2023 00:00;1604.2
10.03.2023 00:00;1609.7
11.03.2023 00:00;1649.7
12.03.2023 00:00;1660.5
13.03.2023 00:00;1660.5
14.03.2023 00:00;1704
15.03.2023 00:00;1706.3
16.03.2023 00:00;1706.3
17.03.2023 00:00;1706.3
18.03.2023 00:00;1706.3
19.03.2023 00:00;1711.8
20.03.2023 00:00;1712.1
21.03.2023 00:00;1712.1
22.03.2023 00:00;1712.1
23.03.2023 00:00;1712.1
24.03.2023 00:00;1731.2
25.03.2023 00:00;1737.3
26.03.2023 00:00;1748.5
27.03.2023 00:00;1760.4
28.03.2023 00:00;1760.9
29.03.2023 00:00;1761.2
30.03.2023 00:00;1766.6
31.03.2023 00:00;1771.7
01.04.2023 00:00;1773.1
02.04.2023 00:00;1778.8
03.04.2023 00:00;1780.3
04.04.2023 00:00;1780.3
05.04.2023 00:00;1780.3
06.04.2023 00:00;1780.3
07.04.2023 00:00;1782.5
08.04.2023 00:00;1782.5
09.04.2023 00:00;1782.5
10.04.2023 00:00;1782.5
11.04.2023 00:00;1804.5
12.04.2023 00:00;1818.8
13.04.2023 00:00;1829.9
14.04.2023 00:00;1831.3
15.04.2023 00:00;1838.3
16.04.2023 00:00;1874.9
17.04.2023 00:00;1878.3
18.04.2023 00:00;1878.3
19.04.2023 00:00;1878.3
20.04.2023 00:00;1888.8
21.04.2023 00:00;1888.8
22.04.2023 00:00;1888.8
23.04.2023 00:00;1904.9
24.04.2023 00:00;1908.1
25.04.2023 00:00;1917.7
26.04.2023 00:00;1917.8
27.04.2023 00:00;1917.8
28.04.2023 00:00;1938.9
29.04.2023 00:00;1953.7
30.04.2023 00:00;1953.7
01.05.2023 00:00;1962.1
02.05.2023 00:00;1964.1
03.05.2023 00:00;1964.1
04.05.2023 00:00;1964.1
05.05.2023 00:00;1971.6
06.05.2023 00:00;1986.7
07.05.2023 00:00;2023.1
08.05.2023 00:00;2025.8
09.05.2023 00:00;2048.6
10.05.2023 00:00;2087.9
11.05.2023 00:00;2095.8
12.05.2023 00:00;2097.5
13.05.2023 00:00;2100
14.05.2023 00:00;2114.5
15.05.2023 00:00;2118.6
16.05.2023 00:00;2160
17.05.2023 00:00;2167.1
18.05.2023 00:00;2167.1
19.05.2023 00:00;2167.1
20.05.2023 00:00;2167.1
21.05.2023 00:00;2167.1
22.05.2023 00:00;2167.1
23.05.2023 00:00;2168.8
24.05.2023 00:00;2169.7
25.05.2023 00:00;2171.1
26.05.2023 00:00;2171.1
27.05.2023 00:00;2171.1
28.05.2023 00:00;2171.1
29.05.2023 00:00;2171.1
30.05.2023 00:00;2171.1
31.05.2023 00:00;2173.1
01.06.2023 00:00;2173.1
02.06.2023 00:00;2173.1
03.06.2023 00:00;2173.1
04.06.2023 00:00;2173.1
05.06.2023 00:00;2173.2
06.06.2023 00:00;2173.2
07.06.2023 00:00;2173.2
08.06.2023 00:00;2175
09.06.2023 00:00;2175
10.06.2023 00:00;2175
11.06.2023 00:00;2175
12.06.2023 00:00;2175
13.06.2023 00:00;2175
14.06.2023 00:00;2175
15.06.2023 00:00;2175.4
16.06.2023 00:00;2175.4
17.06.2023 00:00;2175.4
18.06.2023 00:00;2175.4
